[I 230512 12:46:07 main:223] Experiment started
[I 230512 12:46:07 main:247] Iteration 1 started
[I 230512 12:46:07 main:247] Iteration 2 started
[I 230512 12:46:07 main:247] Iteration 3 started
[I 230512 12:46:07 main:247] Iteration 4 started
[I 230512 12:46:08 main:247] Iteration 5 started
[I 230512 12:46:08 main:247] Iteration 6 started
[I 230512 12:46:08 main:247] Iteration 7 started
[I 230512 12:46:08 main:247] Iteration 8 started
[I 230512 12:46:08 main:247] Iteration 9 started
[I 230512 12:46:08 main:247] Iteration 10 started
[I 230512 12:46:08 main:247] Iteration 11 started
[I 230512 12:46:08 main:247] Iteration 12 started
[I 230512 12:46:09 main:247] Iteration 13 started
[I 230512 12:46:09 main:247] Iteration 14 started
[I 230512 12:46:09 main:247] Iteration 15 started
[I 230512 12:46:09 main:247] Iteration 16 started
[I 230512 12:46:09 main:247] Iteration 17 started
[I 230512 12:46:09 main:247] Iteration 18 started
[I 230512 12:46:09 main:247] Iteration 19 started
[I 230512 12:46:09 main:150] Motion detected
[I 230512 12:46:09 main:247] Iteration 20 started
[I 230512 12:46:10 main:150] Motion detected
[I 230512 12:46:10 main:247] Iteration 21 started
[I 230512 12:46:10 main:247] Iteration 22 started
[I 230512 12:46:10 main:247] Iteration 23 started
[I 230512 12:46:10 main:247] Iteration 24 started
[I 230512 12:46:10 main:247] Iteration 25 started
[I 230512 12:46:10 main:247] Iteration 26 started
[I 230512 12:46:10 main:247] Iteration 27 started
[I 230512 12:46:10 main:247] Iteration 28 started
[I 230512 12:46:11 main:247] Iteration 29 started
[I 230512 12:46:11 main:247] Iteration 30 started
[I 230512 12:46:11 main:247] Iteration 31 started
[I 230512 12:46:11 main:247] Iteration 32 started
[I 230512 12:46:11 main:247] Iteration 33 started
[I 230512 12:46:11 main:247] Iteration 34 started
[I 230512 12:46:11 main:247] Iteration 35 started
[I 230512 12:46:11 main:247] Iteration 36 started
[I 230512 12:46:12 main:247] Iteration 37 started
[I 230512 12:46:12 main:247] Iteration 38 started
[I 230512 12:46:12 main:247] Iteration 39 started
[I 230512 12:46:12 main:247] Iteration 40 started
[I 230512 12:46:12 main:247] Iteration 41 started
[I 230512 12:46:12 main:247] Iteration 42 started
[I 230512 12:46:12 main:247] Iteration 43 started
[I 230512 12:46:12 main:247] Iteration 44 started
[I 230512 12:46:12 main:247] Iteration 45 started
[I 230512 12:46:13 main:247] Iteration 46 started
[I 230512 12:46:13 main:247] Iteration 47 started
[I 230512 12:46:13 main:247] Iteration 48 started
[I 230512 12:46:13 main:247] Iteration 49 started
[I 230512 12:46:13 main:247] Iteration 50 started
[I 230512 12:46:13 main:247] Iteration 51 started
[I 230512 12:46:13 main:247] Iteration 52 started
[I 230512 12:46:13 main:247] Iteration 53 started
[I 230512 12:46:14 main:247] Iteration 54 started
[I 230512 12:46:14 main:247] Iteration 55 started
[I 230512 12:46:14 main:247] Iteration 56 started
[I 230512 12:46:14 main:247] Iteration 57 started
[I 230512 12:46:14 main:247] Iteration 58 started
[I 230512 12:46:14 main:247] Iteration 59 started
[I 230512 12:46:14 main:247] Iteration 60 started
/home/sandbox/msl/DgVeneto/main.py:64: DeprecationWarning: The binary mode of fromstring is deprecated, as it behaves surprisingly on unicode inputs. Use frombuffer instead
  data = np.fromstring(
[I 230512 12:46:20 main:159] Humans detected: 0
[I 230512 12:46:20 main:247] Iteration 61 started
[I 230512 12:46:20 main:247] Iteration 62 started
[I 230512 12:46:20 main:247] Iteration 63 started
[I 230512 12:46:20 main:247] Iteration 64 started
[I 230512 12:46:21 main:247] Iteration 65 started
[I 230512 12:46:21 main:247] Iteration 66 started
[I 230512 12:46:21 main:247] Iteration 67 started
[I 230512 12:46:21 main:247] Iteration 68 started
[I 230512 12:46:21 main:247] Iteration 69 started
[I 230512 12:46:21 main:247] Iteration 70 started
[I 230512 12:46:21 main:247] Iteration 71 started
[I 230512 12:46:21 main:247] Iteration 72 started
[I 230512 12:46:21 main:247] Iteration 73 started
[I 230512 12:46:21 main:247] Iteration 74 started
[I 230512 12:46:21 main:247] Iteration 75 started
[I 230512 12:46:22 main:247] Iteration 76 started
[I 230512 12:46:22 main:247] Iteration 77 started
[I 230512 12:46:22 main:247] Iteration 78 started
[I 230512 12:46:22 main:247] Iteration 79 started
[I 230512 12:46:22 main:247] Iteration 80 started
[I 230512 12:46:22 main:150] Motion detected
[I 230512 12:46:22 main:247] Iteration 81 started
[I 230512 12:46:22 main:150] Motion detected
[I 230512 12:46:22 main:247] Iteration 82 started
[I 230512 12:46:22 main:247] Iteration 83 started
[I 230512 12:46:23 main:247] Iteration 84 started
[I 230512 12:46:23 main:247] Iteration 85 started
